D:\Mr Tuan white\Tuan\CONG TRINH\An Giang\Cau Long Binh\TKKT\Ho so xuat\2010-09\30080 & 30090_Bo tri dau mo A1, A2-cau Kenh-new2.dwg,Dau mo cau Kenh so 2,11/17/2010 3:46:56 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 4\03. Railing-Drainage-Lighting\Parapet-Drainage-Lighting OP4.dwg,OP3-4,12/12/2010 6:18:53 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 4\03. Railing-Drainage-Lighting\Parapet-Drainage-Lighting OP4.dwg,OP3-4,12/12/2010 6:19:10 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 4\03. Railing-Drainage-Lighting\Parapet-Drainage-Lighting OP4.dwg,OP3-4,12/12/2010 6:19:27 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 4\04. Slope protection of Abut\Slope protection of Abut OP4.dwg,Layout1,12/12/2010 6:20:47 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 4\04. Slope protection of Abut\Slope protection of Abut OP4.dwg,Layout1,12/12/2010 6:21:02 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 2\03. Railing_drainage_Lighting\Parapet-Drainage-Lighting OP2.dwg,OP2-6,12/13/2010 6:20:55 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 2\03. Railing_drainage_Lighting\Parapet-Drainage-Lighting OP2.dwg,OP2-6,12/13/2010 6:21:09 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 2\03. Railing_drainage_Lighting\Parapet-Drainage-Lighting OP2.dwg,OP2-6,12/13/2010 6:21:27 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 2\03. Railing_drainage_Lighting\Parapet-Drainage-Lighting OP2.dwg,OP2-6,12/13/2010 6:21:50 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
D:\01. MR BROWN\01. CONG VIEC\00. TL_MT Expressway\02. Package 1,2,4\01. Fully worked-out 121210 _ new\Flyover 2\04. Slope protection of Abut\OP2.dwg,Layout1,12/13/2010 6:24:29 PM,Admin,HP LaserJet 5100 PCL 6,A3,1:1,
